emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6,emoji_7,emoji_8,emoji_9,emoji_10,emoji_11,emoji_12,emoji_13,label
26,198,58,16,34,93,106,179,17,117,16,106,34,0
198,16,41,26,179,106,34,126,16,106,56,34,117,0
26,106,16,154,34,179,198,109,34,106,199,16,117,0
26,179,198,78,34,106,16,102,16,117,188,34,106,1
198,152,179,26,73,16,34,106,56,106,16,34,117,1
16,34,160,26,149,179,106,198,117,34,16,83,106,1
34,16,106,179,198,158,43,26,34,125,16,117,106,0
154,179,16,198,141,106,26,34,16,106,201,117,34,0
198,26,209,16,179,25,34,106,34,16,106,153,117,0
106,16,113,198,179,34,26,12,62,106,117,16,34,1
34,106,198,16,26,179,88,12,106,117,34,16,55,0
26,46,179,106,16,198,58,34,117,106,56,16,34,1
16,106,26,198,179,80,146,34,106,34,16,117,43,1
62,34,179,172,26,16,106,198,34,106,16,51,117,1
26,198,179,123,106,37,34,16,106,16,34,117,100,1
198,179,106,210,16,8,26,34,80,34,117,16,106,0
34,106,52,16,26,124,179,198,34,106,149,117,16,0
26,16,106,179,188,198,23,34,34,9,117,16,106,0
152,34,16,198,11,179,26,106,106,34,16,62,117,1
26,179,16,34,99,198,106,8,134,34,16,106,117,0
201,198,34,179,106,158,16,26,33,34,106,16,117,1
34,16,173,26,179,198,106,9,117,34,106,16,40,0
198,106,26,179,34,43,31,16,106,117,34,16,213,0
198,106,149,34,179,16,47,26,16,106,136,117,34,1
179,26,106,34,144,198,114,16,34,117,106,133,16,1
179,18,16,170,26,106,198,34,6,117,34,106,16,0
179,34,198,16,194,106,26,57,106,75,34,117,16,1
50,179,198,159,16,34,106,26,106,16,117,34,75,1
106,136,34,14,198,16,179,26,106,77,117,16,34,0
106,179,26,198,34,6,47,16,167,16,34,106,117,0
26,72,16,50,198,34,106,179,117,58,34,106,16,0
16,35,179,198,26,75,34,106,34,106,117,63,16,0
26,34,198,179,106,16,58,202,117,16,175,34,106,0
198,190,34,179,106,26,193,16,34,106,16,117,208,1
16,198,131,114,106,34,179,26,34,183,117,106,16,0
179,139,34,16,198,26,106,92,34,18,106,16,117,1
106,16,26,198,38,179,34,168,34,106,117,104,16,1
34,26,16,171,197,198,179,106,117,16,106,18,34,1
26,195,179,16,39,34,198,106,34,117,106,188,16,1
104,179,198,34,16,26,106,22,117,34,16,78,106,0
106,16,26,179,198,34,70,48,34,117,80,16,106,1
106,125,16,198,34,26,179,127,117,204,106,34,16,0
198,34,206,106,26,179,82,16,34,117,77,16,106,1
26,179,198,169,16,34,72,106,34,16,204,117,106,0
34,166,26,16,106,183,198,179,16,106,34,183,117,0
34,16,26,106,179,64,118,198,16,106,204,117,34,1
173,26,34,179,198,181,16,106,34,117,16,156,106,0
26,106,156,34,179,198,16,69,168,117,16,34,106,1
106,13,16,179,26,198,77,34,106,16,124,117,34,0
16,179,182,106,135,34,26,198,16,117,167,34,106,0
34,106,66,198,16,196,26,179,117,106,34,1,16,1
198,34,106,88,26,179,16,58,67,16,34,106,117,1
16,198,34,106,142,26,179,167,106,16,18,34,117,1
34,72,26,13,106,16,179,198,16,117,34,55,106,0
179,23,16,198,26,106,75,34,104,117,16,106,34,0
26,38,198,16,179,168,34,106,106,103,117,16,34,0
106,113,16,179,63,34,198,26,16,34,106,45,117,0
106,110,34,26,198,16,101,179,92,117,34,16,106,0
122,26,34,179,198,16,106,98,117,106,16,188,34,1
172,179,34,26,106,9,16,198,77,16,106,117,34,1
34,26,198,59,16,6,106,179,34,186,106,117,16,1
106,198,34,16,213,110,26,179,106,34,16,117,80,1
26,10,16,34,179,21,106,198,83,117,16,106,34,1
118,16,198,26,106,29,179,34,101,34,16,106,117,1
16,179,198,131,26,34,106,78,106,208,34,117,16,1
198,87,16,154,179,26,106,34,125,16,117,106,34,0
198,106,62,34,26,109,179,16,16,117,106,189,34,0
149,106,96,16,26,34,179,198,106,34,53,117,16,1
106,26,34,191,198,100,16,179,16,17,117,106,34,0
26,46,106,34,198,179,16,25,117,16,106,156,34,0
119,34,134,16,106,26,198,179,34,106,117,67,16,1
181,26,198,34,121,106,16,179,34,117,18,106,16,0
16,106,126,26,208,34,198,179,92,106,117,34,16,0
198,26,62,106,49,16,34,179,106,16,77,34,117,0
26,140,106,34,179,194,16,198,67,106,117,34,16,0
198,134,179,16,106,140,26,34,34,16,106,56,117,1
34,43,16,112,106,198,26,179,117,106,16,34,195,0
26,34,106,159,16,200,198,179,16,106,34,117,208,0
179,16,34,138,25,106,26,198,106,117,16,34,101,0
179,123,16,198,106,26,76,34,106,16,9,34,117,0
26,38,106,198,16,34,25,179,106,34,16,117,185,0
198,179,34,106,16,26,103,165,106,117,195,34,16,0
34,179,25,198,113,26,16,106,106,62,34,117,16,0
